               3480      135.75		3750
               3630      126.97		3564
               3800      117.35		3018
               4200       95.76		2712
               4600       75.36		2509
               5000        55.9		2313
               5400       37.29		2109
               5701       23.83		1950
               6061        10.2		1750
               6221        4.78		1550
               6331        2.45	 	930
               6356        0.34	 	630
               6371           0	 	300
