3480 140.8318748154772 1048 5.701918559720426*^6 725.4057475060531 
3480 140.8318748154772 1098 5.700367274392693*^6 724.9551884314137 
3480 140.8318748154772 1148 5.698899125238484*^6 724.4682808510502 
3480 140.8318748154772 1198 5.697173094511799*^6 724.1522424172744 
3480 140.8318748154772 1248 5.695408632259312*^6 723.875106740248 
3480 140.8318748154772 1298 5.693610859663574*^6 723.637546745178 
3480 140.8318748154772 1348 5.691902057325793*^6 723.3787501275084 
3480 140.8318748154772 1398 5.690100355496017*^6 723.1994573148439 
3480 140.8318748154772 1448 5.688250968974827*^6 723.0772249383799 
3480 140.8318748154772 1498 5.686327105447078*^6 723.0266763546433 
3480 140.8318748154772 1548 5.684326887946451*^6 723.0491248419291 
3480 140.8318748154772 1598 5.682303853122567*^6 723.1204665812938 
3480 140.8318748154772 1648 5.68031423968141*^6 723.2186440087644 
3480 140.8318748154772 1698 5.678334804123616*^6 723.3584728621003 
3480 140.8318748154772 1748 5.676337986976273*^6 723.5550426154443 
3480 140.8318748154772 1798 5.674324007951931*^6 723.8110486964865 
3480 140.8318748154772 1848 5.672266029398281*^6 724.1387712653402 
3480 140.8318748154772 1898 5.669998444482869*^6 724.5925434678826 
3480 140.8318748154772 1948 5.667718874584363*^6 725.0997281436137 
3480 140.8318748154772 1998 5.665613276043555*^6 725.61306948944 
3480 140.8318748154772 2048 5.663520730936613*^6 726.1910590777376 
3480 140.8318748154772 2098 5.661410880012276*^6 726.8462435230429 
3480 140.8318748154772 2148 5.659186682651618*^6 727.5931367316416 
3480 140.8318748154772 2198 5.656781308644393*^6 728.4198292576809 
3480 140.8318748154772 2248 5.654556758252776*^6 729.3010245917731 
3480 140.8318748154772 2298 5.652388733882153*^6 730.2706065903724 
3480 140.8318748154772 2348 5.65020089532517*^6 731.3372288548104 
3480 140.8318748154772 2398 5.647992243484503*^6 732.5065412433136 
3480 140.8318748154772 2448 5.645548013163444*^6 733.6593083845881 
3480 140.8318748154772 2498 5.64320807731359*^6 734.9315947477469 
3480 140.8318748154772 2548 5.640958481278178*^6 736.3849806281505 
3480 140.8318748154772 2598 5.6386856075612325*^6 737.9624103922854 
3480 140.8318748154772 2648 5.636388404395445*^6 739.6718207378472 
3480 140.8318748154772 2698 5.634065831371412*^6 741.5218830948351 
3480 140.8318748154772 2748 5.631646278140662*^6 743.2243150447919 
3480 140.8318748154772 2798 5.629230883791474*^6 744.9765683923088 
3480 140.8318748154772 2848 5.626863588795992*^6 747.2003444811983 
3480 140.8318748154772 2898 5.624468550380119*^6 749.5974930791708 
3480 140.8318748154772 2948 5.622044839993079*^6 752.1807217772694 
3480 140.8318748154772 298 
3480 140.8318748154772 2998 5.619591566216258*^6 754.9640898252123 
3480 140.8318748154772 3048 5.6171078780763075*^6 757.9631961723392 
3480 140.8318748154772 3098 5.614592968178933*^6 761.1953993489992 
3480 140.8318748154772 3148 5.612046075695022*^6 764.6800756651248 
3480 140.8318748154772 3198 5.609466489207069*^6 768.4389237581363 
3480 140.8318748154772 3248 5.606853549459892*^6 772.4963255068978 
3480 140.8318748154772 3298 5.604386230253639*^6 775.5819537820275 
3480 140.8318748154772 3348 5.601912528641119*^6 778.9372952065448 
3480 140.8318748154772 3398 5.5992503607112*^6 783.7421324697226 
3480 140.8318748154772 3448 5.596554249489094*^6 788.9392593171024 
3480 140.8318748154772 348 
3480 140.8318748154772 3498 5.593823829297285*^6 794.5686674669271 
3480 140.8318748154772 3548 5.5910588026919635*^6 800.6761521425512 
3480 140.8318748154772 3598 5.588258943096343*^6 807.3144034259019 
3480 140.8318748154772 3648 5.585424097510727*^6 814.5443529107642 
3480 140.8318748154772 3698 5.58255418932488*^6 822.4368481960921 
3480 140.8318748154772 3748 5.5796492212638445*^6 831.0747523108053 
3480 140.8318748154772 3798 5.5767092784960335*^6 840.5555994766303 
3480 140.8318748154772 3848 5.573734531935719*^6 850.9949872050906 
3480 140.8318748154772 3898 5.570725241774595*^6 862.5309545078356 
3480 140.8318748154772 3948 5.567681761280489*^6 875.3296977716827 
3480 140.8318748154772 398 
3480 140.8318748154772 3998 5.56460454090493*^6 889.5931267805796 
3480 140.8318748154772 4048 5.561494132745823*^6 905.5689913392328 
3480 140.8318748154772 4098 5.558351195412417*^6 923.5646602978165 
3480 140.8318748154772 4148 5.555176499375015*^6 943.966188417589 
3480 140.8318748154772 4198 5.551970932803136*^6 967.2652008266637 
3480 140.8318748154772 4248 5.548735508044937*^6 994.0976096297509 
3480 140.8318748154772 4298 5.545471368772282*^6 1025.3007205788958 
3480 140.8318748154772 448 5.713641304823763*^6 732.8344320112176 
3480 140.8318748154772 498 5.713914868330375*^6 732.2885926437285 
3480 140.8318748154772 548 5.713569086256151*^6 731.5132585725706 
3480 140.8318748154772 598 5.712960536410163*^6 730.793626382088 
3480 140.8318748154772 648 5.712141938171454*^6 730.127785235984 
3480 140.8318748154772 698 5.711191012378945*^6 729.4151080672223 
3480 140.8318748154772 748 5.710086198074995*^6 728.827846574651 
3480 140.8318748154772 798 5.70893739803147*^6 728.1342374843787 
3480 140.8318748154772 848 5.707582999122835*^6 727.5944602749541 
3480 140.8318748154772 898 5.706331465236744*^6 726.931224797451 
3480 140.8318748154772 948 5.704831061779016*^6 726.4513518729487 
3480 140.8318748154772 998 5.703523567004628*^6 725.824816038717 
3490 139.83837641871492 1048 5.693935033088655*^6 721.9483010829742 
3490 139.83837641871492 1098 5.692299042704513*^6 721.5304997751873 
3490 139.83837641871492 1148 5.6908866994382655*^6 720.9873813632362 
